# 70 in-scope, non-closure asserts Flux silently does not check
# (cmd+click the path:line). format: path:line  [fn]  condition

capsules/extra/src/ieee802154/framer.rs:448  [incoming_frame_security]  buf.len() >= radio::PSDU_OFFSET + LQI_SIZE
capsules/extra/src/mx25r6435f.rs:322  [read_sector]  rxbuffer.is_some()
capsules/extra/src/net/ipv6/ip_utils.rs:191  [compute_udp_checksum]  i < payload.len()
capsules/extra/src/net/ipv6/ip_utils.rs:196  [compute_udp_checksum]  i + 1 < payload.len()
capsules/extra/src/net/ipv6/ipv6.rs:346  [copy_subslice_into]  i < dst.len() && i < src.len()
capsules/extra/src/net/ipv6/ipv6.rs:423  [encode]  done.is_some()
capsules/extra/src/net/ipv6/ipv6.rs:429  [encode]  done.is_some()
capsules/extra/src/net/ipv6/ipv6.rs:445  [encode]  payload_length <= self.payload.len()
capsules/extra/src/net/ipv6/ipv6.rs:585  [encode]  done.is_some()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1211  [decompress_multicast]  *consumed + 1 < buf.len() && 2 < ip_addr.0.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1225  [decompress_multicast]  *consumed + 6 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1330  [decompress_iid_link_local]  *consumed + 8 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1347  [decompress_iid_link_local]  *consumed + 2 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1416  [decompress_iid_context]  *consumed + 8 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1431  [decompress_iid_context]  *consumed + 2 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1495  [decompress_udp_ports]  *consumed + 1 <= *consumed + 3
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1496  [decompress_udp_ports]  *consumed + 3 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1501  [decompress_udp_ports]  *consumed <= *consumed + 2
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1502  [decompress_udp_ports]  *consumed + 2 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1510  [decompress_udp_ports]  *consumed <= *consumed + 2
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1511  [decompress_udp_ports]  *consumed + 2 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1514  [decompress_udp_ports]  *consumed + 2 <= *consumed + 4
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1515  [decompress_udp_ports]  *consumed + 4 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1570  [decompress_udp_checksum]  *consumed <= *consumed + 2
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:1571  [decompress_udp_checksum]  *consumed + 2 <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:665  [decompress_ext_hdr]  2 + len <= next_headers.len() && *consumed + len <= buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_compression.rs:992  [decompress_tf]  *consumed + 2 < buf.len()
capsules/extra/src/net/sixlowpan/sixlowpan_state.rs:275  [set_frag_hdr]  hdr.len() >= 5
capsules/extra/src/net/sixlowpan/sixlowpan_state.rs:283  [set_frag_hdr]  2 <= hdr.len()
