crate	path	fn	category	why_silent	closure	in_scope	condition
kernel	kernel/src/process_standard.rs:1643	create	PROVEN		False	True	kernel_memory_break.as_usize() + grant_pointers.len() <= memory_end.as_usize(),
kernel	kernel/src/process_standard.rs:1661	create	PROVEN		False	True	kernel_memory_break.as_usize() + upcall_buf.len() <= grant_entry_checkpoint.as_u
kernel	kernel/src/process_standard.rs:1671	create	PROVEN		False	True	process_struct_memory_location.as_usize() + isize_into_usize(process_struct_offs
kernel	kernel/src/process_standard.rs:1677	create	PROVEN		False	True	kernel_memory_break >= actual_kernel_break
kernel	kernel/src/allocator.rs:178	add_shared_readonly_buffer	PROVEN		False	True	new_water_mark >= self.breaks.high_water_mark
kernel	kernel/src/allocator.rs:179	add_shared_readonly_buffer	PROVEN		False	True	new_water_mark <= self.memory_end()
kernel	kernel/src/processbuffer.rs:774	len_mismatch_fail	DEAD_VALIDATED		False	True	false
kernel	kernel/src/processbuffer.rs:1046	len_mismatch_fail	DEAD_VALIDATED		False	True	false
kernel	kernel/src/scheduler/round_robin.rs:149	result	TRUSTED_BLOCKED		False	True	execution_time_us.is_some()
kernel	kernel/src/utilities/leasable_buffer.rs:266	active_slice	PROVEN		False	True	self.active_range.start <= self.active_range.end && self.active_range.end <= sel
kernel	kernel/src/utilities/leasable_buffer.rs:371	index	PROVEN		False	True	self.active_range.start <= self.active_range.end && self.active_range.end <= sel
kernel	kernel/src/utilities/static_init.rs:51	static_buf_check_used	DEAD_VALIDATED		False	True	false
kernel	kernel/src/collections/ring_buffer.rs:57	as_slices	PROVEN		False	True	self.tail <= self.ring.len()
kernel	kernel/src/collections/ring_buffer.rs:63	as_slices	PROVEN		False	True	self.head <= self.ring.len()
kernel	kernel/src/collections/ring_buffer.rs:85	has_elements	PROVEN		False	True	self.ring.len() != 0
kernel	kernel/src/collections/ring_buffer.rs:94	is_full	PROVEN		False	True	self.ring.len() != 0
kernel	kernel/src/collections/ring_buffer.rs:126	enqueue	PROVEN		False	True	self.tail < self.ring.len()
kernel	kernel/src/collections/ring_buffer.rs:170	dequeue	PROVEN		False	True	self.head < self.ring.len()
tock-cells	libraries/tock-cells/src/optional_cell.rs:201	unwrap_or_panic	TRUSTED_BLOCKED		False	True	self.value.get().is_some()
tickv	libraries/tickv/src/tickv.rs:87	new	PROVEN		False	True	len < 0xFFF
tickv	libraries/tickv/src/tickv.rs:239	get_region	PROVEN		False	True	num_region != 0
tickv	libraries/tickv/src/tickv.rs:243	get_region	PROVEN		False	True	num_region != 0
tickv	libraries/tickv/src/tickv.rs:455	append_key	DEAD_VACUOUS		False	True	false
tickv	libraries/tickv/src/tickv.rs:721	get_key	PROVEN		False	True	S != 0
tickv	libraries/tickv/src/tickv.rs:860	invalidate_key	PROVEN		False	True	S != 0
tickv	libraries/tickv/src/tickv.rs:867	invalidate_key	PROVEN		False	True	S != 0
tickv	libraries/tickv/src/tickv.rs:977	zeroise_key	PROVEN		False	True	S != 0
tickv	libraries/tickv/src/async_ops.rs:204	append_key	PROVEN		False	True	length <= value.len()
tickv	libraries/tickv/src/async_ops.rs:364	continue_operation	SILENT	in_scope_skipped	False	True	self.key.get().is_some()
tickv	libraries/tickv/src/async_ops.rs:368	continue_operation	SILENT	in_scope_skipped	False	True	value_opt.is_some()
tickv	libraries/tickv/src/async_ops.rs:372	continue_operation	SILENT	in_scope_skipped	False	True	self.key.get().is_some()
tickv	libraries/tickv/src/async_ops.rs:382	continue_operation	SILENT	in_scope_skipped	False	True	buf_opt.is_some()
tickv	libraries/tickv/src/async_ops.rs:385	continue_operation	SILENT	in_scope_skipped	False	True	self.key.get().is_some()
tickv	libraries/tickv/src/async_ops.rs:394	continue_operation	SILENT	in_scope_skipped	False	True	self.key.get().is_some()
tickv	libraries/tickv/src/async_ops.rs:396	continue_operation	SILENT	in_scope_skipped	False	True	self.key.get().is_some()
tickv	libraries/tickv/src/async_ops.rs:402	continue_operation	DEAD_VACUOUS		False	True	false
cortexm	arch/cortex-m/src/lib.rs:154	unhandled_interrupt	DEAD_VACUOUS		False	True	false
cortexm	arch/cortex-m/src/systick.rs:211	get_remaining_us	PROVEN		False	True	hertz > 0
cortexm	arch/cortex-m/src/syscall.rs:109	write_usize_to_u8_slice	TRUSTED_BLOCKED		False	True	range.start <= range.end && range.end <= slice.len()
cortexv7m	arch/cortex-v7m/src/lib.rs:300	hard_fault_handler_arm_v7m_kernel	DEAD_VACUOUS		False	True	false
cortexv7m	arch/cortex-v7m/src/lib.rs:352	hard_fault_handler_arm_v7m_kernel	DEAD_VACUOUS		False	True	false
capsules-core	capsules/core/src/process_console.rs:1009	read_command	DEAD_VACUOUS		False	True	false
capsules-core	capsules/core/src/process_console.rs:1029	read_command	TRUSTED_BLOCKED		True	True	command.len() > 0
capsules-core	capsules/core/src/process_console.rs:1060	write_byte	TRUSTED_BLOCKED		True	True	self.queue_size.get() < buf.len()
capsules-core	capsules/core/src/process_console.rs:1211	received_buffer	TRUSTED_BLOCKED		True	True	0 < read_buf.len()
capsules-core	capsules/core/src/process_console.rs:1232	received_buffer	TRUSTED_BLOCKED		False	True	next_index < ht.cmds.len()
capsules-core	capsules/core/src/process_console.rs:1247	received_buffer	TRUSTED_BLOCKED		False	True	next_index < ht.cmds.len() && i < ht.cmds[next_index].buf.len()
capsules-core	capsules/core/src/process_console.rs:1251	received_buffer	TRUSTED_BLOCKED		False	True	i < command.len()
capsules-core	capsules/core/src/process_console.rs:1362	received_buffer	TRUSTED_BLOCKED		False	True	index >= 1 && index < command.len()
capsules-core	capsules/core/src/process_console.rs:1416	received_buffer	TRUSTED_BLOCKED		False	True	i + 1 < command.len()
capsules-core	capsules/core/src/button.rs:207	command	PROVEN		False	True	data < self.pins.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:184	do_next_op	TRUSTED_BLOCKED		True	True	node.queued_up.is_some()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:504	start_ccm_encrypt	DEAD_VACUOUS		False	True	false
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:548	end_ccm	TRUSTED_BLOCKED		False	True	m_end + mic_len <= buf.len() && tag_off + mic_len <= cbuf.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:551	end_ccm	TRUSTED_BLOCKED		False	True	m_end + mic_len <= buf.len() && tag_off + mic_len <= cbuf.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:627	save_tag_block	TRUSTED_BLOCKED		True	True	auth_len >= AES128_BLOCK_SIZE && auth_len <= cbuf.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:680	crypt_r	PROVEN		False	True	a_off <= m_off
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:681	crypt_r	PROVEN		False	True	m_off + m_len <= buf.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:880	crypt_done	DEAD_VACUOUS		False	True	false
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:897	crypt_done	TRUSTED_BLOCKED		False	True	auth_last + i < cbuf.len() && enc_last + i < cbuf.len()
capsules-core	capsules/core/src/virtualizers/virtual_aes_ccm.rs:906	crypt_done	TRUSTED_BLOCKED		True	True	auth_len + m_len <= cbuf.len() && m_off + m_len <= buf.len()
capsules-extra	capsules/extra/src/tickv.rs:247	read_region	SILENT	in_scope_skipped	False	True	self.flash_read_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:265	write	TRUSTED_BLOCKED		False	True	self.flash_read_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:270	write	TRUSTED_BLOCKED		False	True	i + (address % PAGE_SIZE) < data_buf.as_mut().len()
capsules-extra	capsules/extra/src/tickv.rs:356	complete_init	TRUSTED_BLOCKED		False	True	self.key_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:358	complete_init	TRUSTED_BLOCKED		False	True	self.value_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:373	complete_init	TRUSTED_BLOCKED		False	True	self.key_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:375	complete_init	TRUSTED_BLOCKED		False	True	self.value_buffer.is_some()
capsules-extra	capsules/extra/src/tickv.rs:390	complete_init	TRUSTED_BLOCKED		False	True	self.key_buffer.is_some()
