address,sink,flavor,enclosing_fn,ef_file,ef_line,inner_file,inner_line,outer_file,outer_line,bucket,status,final_file,final_line,method,confidence,reason
0xf460,panic_fmt,explicit_panic,cortexm::unhandled_interrupt,./arch/cortex-m/src/lib.rs,148,./arch/cortex-m/src/lib.rs,148,./arch/cortex-m/src/lib.rs,148,annotatable,marked,arch/cortex-m/src/lib.rs,148,branch FLUX-* marker within ±6 lines of effective_frame,high,
0xf4e6,slice_index_order_fail,slice_order,cortexm::syscall::write_usize_to_u8_slice,./arch/cortex-m/src/syscall.rs,88,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,446,./arch/cortex-m/src/syscall.rs,88,annotatable,marked,arch/cortex-m/src/syscall.rs,88,"branch FLUX-* marker at line 106 (Δ=+18, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0xf5ba,panic_const::panic_const_div_by_zero,div_by_zero,<cortexm::systick::SysTick as kernel::platform::scheduler_timer::SchedulerTimer>::get_remaining_us,./arch/cortex-m/src/systick.rs,208,./arch/cortex-m/src/systick.rs,208,./arch/cortex-m/src/systick.rs,208,annotatable,marked,arch/cortex-m/src/systick.rs,208,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x102ea,panic_fmt,explicit_panic,cortexv7m::hard_fault_handler_arm_v7m_kernel,./arch/cortex-v7m/src/lib.rs,296,./arch/cortex-v7m/src/lib.rs,296,./arch/cortex-v7m/src/lib.rs,296,annotatable,marked,arch/cortex-v7m/src/lib.rs,296,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x102d0,panic_fmt,explicit_panic,cortexv7m::hard_fault_handler_arm_v7m_kernel,./arch/cortex-v7m/src/lib.rs,345,./arch/cortex-v7m/src/lib.rs,345,./arch/cortex-v7m/src/lib.rs,345,annotatable,marked,arch/cortex-v7m/src/lib.rs,345,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x135e0,panic_bounds_check,bounds,<nrf52840dk_lib::io::Writer as kernel::debug::IoWrite>::write,./boards/nordic/nrf52840dk/src/io.rs,78,./boards/nordic/nrf52840dk/src/io.rs,78,./boards/nordic/nrf52840dk/src/io.rs,78,annotatable,marked,boards/nordic/nrf52840dk/src/io.rs,78,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1e182,panic_fmt,explicit_panic,<capsules_core::adc::AdcDedicated<nrf52::adc::Adc> as kernel::hil::adc::Client>::sample_ready,./capsules/core/src/adc.rs,,./capsules/core/src/adc.rs,,./capsules/core/src/adc.rs,,no_line,recovered-no-line,capsules/core/src/adc.rs,740,flux-flavor regex search inside enclosing fn body,low,no explicit_panic pattern found in fn body; line=fn entry
0x1e7b6,panic_fmt,explicit_panic,<capsules_core::adc::AdcDedicated<nrf52::adc::Adc> as kernel::hil::adc::HighSpeedClient>::samples_ready,./capsules/core/src/adc.rs,,./capsules/core/src/adc.rs,,./capsules/core/src/adc.rs,,no_line,recovered-no-line,capsules/core/src/adc.rs,827,flux-flavor regex search inside enclosing fn body,low,no explicit_panic pattern found in fn body; line=fn entry
0x18e56,panic_fmt,explicit_panic,<capsules_core::alarm::AlarmDriver<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>>::process_rearm_or_callback,./capsules/core/src/alarm.rs,188,./capsules/core/src/alarm.rs,,./capsules/core/src/alarm.rs,188,annotatable,marked,capsules/core/src/alarm.rs,188,no FLUX-* marker anywhere in file,high,needs new marker
0x1a0fa,panic_bounds_check,bounds,<capsules_core::button::Button<nrf5x::gpio::GPIOPin> as kernel::hil::gpio::ClientWithValue>::fired,./capsules/core/src/button.rs,246,./capsules/core/src/button.rs,246,./capsules/core/src/button.rs,246,annotatable,outstanding,capsules/core/src/button.rs,246,no FLUX-* marker anywhere in file,high,needs new marker
0x1f66c,panic_bounds_check,bounds,<capsules_core::gpio::GPIO<nrf5x::gpio::GPIOPin> as kernel::hil::gpio::ClientWithValue>::fired,./capsules/core/src/gpio.rs,144,./capsules/core/src/gpio.rs,144,./capsules/core/src/gpio.rs,144,annotatable,outstanding,capsules/core/src/gpio.rs,144,no FLUX-* marker anywhere in file,high,needs new marker
0x19fd4,panic_fmt,explicit_panic,<capsules_core::i2c_master_slave_driver::I2CMasterSlaveDriver<nrf52::i2c::TWI> as kernel::hil::i2c::I2CHwSlaveClient>::command_complete,./capsules/core/src/i2c_master_slave_driver.rs,,./capsules/core/src/i2c_master_slave_driver.rs,,./capsules/core/src/i2c_master_slave_driver.rs,,no_line,recovered-no-line,capsules/core/src/i2c_master_slave_driver.rs,106,flux-flavor regex search inside enclosing fn body,low,no explicit_panic pattern found in fn body; line=fn entry
0x1ec38,slice_end_index_len_fail,slice_end,<capsules_core::i2c_master_slave_driver::I2CMasterSlaveDriver<nrf52::i2c::TWI> as kernel::hil::i2c::I2CHwMasterClient>::command_complete,./capsules/core/src/i2c_master_slave_driver.rs,142,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,437,./capsules/core/src/i2c_master_slave_driver.rs,127,annotatable,marked,capsules/core/src/i2c_master_slave_driver.rs,142,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x13e34,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability>>::write_byte",./capsules/core/src/process_console.rs,1044,./capsules/core/src/process_console.rs,1044,./capsules/core/src/process_console.rs,1043,annotatable,marked,capsules/core/src/process_console.rs,1044,"branch FLUX-* marker at line 1059 (Δ=+15, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1b71a,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::TransmitClient>::transmitted_buffer",./capsules/core/src/process_console.rs,1016,./capsules/core/src/process_console.rs,1016,./capsules/core/src/process_console.rs,1166,annotatable,marked,capsules/core/src/process_console.rs,1016,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x1b734,panic_fmt,explicit_panic,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::TransmitClient>::transmitted_buffer",./capsules/core/src/process_console.rs,998,./capsules/core/src/process_console.rs,998,./capsules/core/src/process_console.rs,1166,annotatable,marked,capsules/core/src/process_console.rs,998,"branch FLUX-* marker at line 1008 (Δ=+10, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1ad04,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::ReceiveClient>::received_buffer",./capsules/core/src/process_console.rs,1220,./capsules/core/src/process_console.rs,1220,./capsules/core/src/process_console.rs,1186,annotatable,marked,capsules/core/src/process_console.rs,1220,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1ad1a,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::ReceiveClient>::received_buffer",./capsules/core/src/process_console.rs,1187,./capsules/core/src/process_console.rs,1187,./capsules/core/src/process_console.rs,1186,annotatable,marked,capsules/core/src/process_console.rs,1187,"branch FLUX-* marker at line 1207 (Δ=+20, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1ad2a,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::ReceiveClient>::received_buffer",./capsules/core/src/process_console.rs,1380,./capsules/core/src/process_console.rs,1380,./capsules/core/src/process_console.rs,1186,annotatable,marked,capsules/core/src/process_console.rs,1380,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x1ad3c,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::ReceiveClient>::received_buffer",./capsules/core/src/process_console.rs,1328,./capsules/core/src/process_console.rs,1328,./capsules/core/src/process_console.rs,1186,annotatable,marked,capsules/core/src/process_console.rs,1328,"branch FLUX-* marker at line 1346 (Δ=+18, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1ad66,panic_bounds_check,bounds,"<capsules_core::process_console::ProcessConsole<10, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, components::process_console::Capability> as kernel::hil::uart::ReceiveClient>::received_buffer",./capsules/core/src/process_console.rs,1205,./capsules/core/src/process_console.rs,1205,./capsules/core/src/process_console.rs,1186,annotatable,marked,capsules/core/src/process_console.rs,1205,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x76a2,panic_fmt,explicit_panic,<capsules_core::spi_controller::Spi<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>> as kernel::syscall_driver::SyscallDriver>::command,./capsules/core/src/spi_controller.rs,,./capsules/core/src/spi_controller.rs,,./capsules/core/src/spi_controller.rs,,no_line,recovered-no-line,capsules/core/src/spi_controller.rs,226,flux-flavor regex search inside enclosing fn body,low,no explicit_panic pattern found in fn body; line=fn entry
0x14342,panic_bounds_check,bounds,<capsules_core::spi_controller::Spi<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>>>::do_next_read_write,./capsules/core/src/spi_controller.rs,,./capsules/core/src/spi_controller.rs,,./capsules/core/src/spi_controller.rs,,no_line,recovered-no-line,capsules/core/src/spi_controller.rs,122,flux-flavor regex search inside enclosing fn body,medium,"2 candidates: [122, 159]"
0x1432c,unwrap_failed,unwrap_option,<capsules_core::spi_controller::Spi<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>>>::do_next_read_write,./capsules/core/src/spi_controller.rs,139,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/core/src/spi_controller.rs,139,annotatable,marked,capsules/core/src/spi_controller.rs,139,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x14338,unwrap_failed,unwrap_option,<capsules_core::spi_controller::Spi<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>>>::do_next_read_write,./capsules/core/src/spi_controller.rs,169,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/core/src/spi_controller.rs,169,annotatable,marked,capsules/core/src/spi_controller.rs,169,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x14332,unwrap_failed,unwrap_option,<capsules_core::spi_controller::Spi<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>>>::do_next_read_write,./capsules/core/src/spi_controller.rs,175,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/core/src/spi_controller.rs,175,annotatable,marked,capsules/core/src/spi_controller.rs,175,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1303e,panic_fmt,explicit_panic,<capsules_core::virtualizers::virtual_aes_ccm::VirtualAES128CCM<nrf5x::aes::AesECB>>::start_ccm_auth,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,,no_line,recovered-no-line,capsules/core/src/virtualizers/virtual_aes_ccm.rs,403,flux-flavor regex search inside enclosing fn body,medium,"2 candidates: [403, 420]"
0x12efe,unwrap_failed,unwrap_option,<capsules_core::virtualizers::virtual_aes_ccm::MuxAES128CCM<nrf5x::aes::AesECB>>::do_next_op,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,174,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,172,annotatable,marked,capsules/core/src/virtualizers/virtual_aes_ccm.rs,174,FLUX-TODO-BLOCKED marker (insertion-point hazard),high,
0x12f9a,slice_index_order_fail,slice_order,<capsules_core::virtualizers::virtual_aes_ccm::MuxAES128CCM<nrf5x::aes::AesECB>>::do_next_op,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,632,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,434,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,172,annotatable,marked,capsules/core/src/virtualizers/virtual_aes_ccm.rs,632,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x12fa4,slice_end_index_len_fail,slice_end,<capsules_core::virtualizers::virtual_aes_ccm::MuxAES128CCM<nrf5x::aes::AesECB>>::do_next_op,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,176,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,437,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,172,annotatable,marked,capsules/core/src/virtualizers/virtual_aes_ccm.rs,176,FLUX-TODO-BLOCKED marker (insertion-point hazard),high,
0x12fae,slice_index_order_fail,slice_order,<capsules_core::virtualizers::virtual_aes_ccm::MuxAES128CCM<nrf5x::aes::AesECB>>::do_next_op,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,585,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,434,./capsules/core/src/virtualizers/virtual_aes_ccm.rs,172,annotatable,marked,capsules/core/src/virtualizers/virtual_aes_ccm.rs,585,branch FLUX-* marker within ±6 lines of effective_frame,high,
